"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5687","programacion_tab_ayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","11391","navegacion_boton_menu_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","1585","navegacion_click_boton_menu","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","141022","modo_offline_muestra_mensaje_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","failed","2026-04-24","","","",""
"","10000","reproductor_live_controles_visibles_al_tocar","Reproductor Live — tvnPass Android","2026-04-24","broken","2026-04-24","","","",""
"","14784","modo_offline_recupera_al_restaurar_conexion","Modo Offline — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10619","navegacion_boton_explorar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","16615","radio_tvn_radio_clickeable","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5296","programacion_tab_manana_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","9749","navegacion_click_boton_buscar","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10430","navegacion_boton_buscar_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","21788","reproductor_live_carga_player_en_pantalla","Reproductor Live — tvnPass Android","2026-04-24","failed","2026-04-24","","","",""
"","5477","programacion_tab_hoy_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","22596","reproductor_live_sin_pantalla_de_error","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5885","programacion_tab_anteayer_es_seleccionable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","10840","navegacion_boton_inicio_visible","Navegación Inferior — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8632","modo_offline_app_no_crashea_sin_conexion","Modo Offline — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","8791","programacion_ver_todo_clickeable","Navegación Programación — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","9903","radio_seccion_estaciones_visible","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","9471","radio_tvn_radio_click","Estaciones Radio — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","7233","reproductor_live_tab_en_vivo_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
"","5646","reproductor_live_programacion_hoy_visible","Reproductor Live — tvnPass Android","2026-04-24","passed","2026-04-24","","","",""
